precision,recall,fbeta,feature,value
0.7,0.5833333333333334,0.6363636363636365,native-country,Canada
1.0,0.0,0.0,native-country,Portugal
1.0,0.6363636363636364,0.7777777777777778,native-country,Germany
0.6923076923076923,1.0,0.8181818181818181,native-country,India
1.0,1.0,1.0,native-country,El-Salvador
0.5,0.5,0.5,native-country,Nicaragua
1.0,0.0,0.0,native-country,Peru
1.0,0.6666666666666666,0.8,native-country,Hong
0.625,0.5555555555555556,0.5882352941176471,native-country,England
0.5,0.3333333333333333,0.4,native-country,Poland
0.8,0.5714285714285714,0.6666666666666666,native-country,Japan
1.0,0.5,0.6666666666666666,native-country,Jamaica
0.7857142857142857,0.6111111111111112,0.6875000000000001,native-country,Philippines
0.0,1.0,0.0,native-country,Columbia
0.8,0.8,0.8000000000000002,native-country,China
0.0,0.0,0.0,native-country,Cambodia
0.0,0.0,0.0,native-country,Ecuador
1.0,1.0,1.0,native-country,Dominican-Republic
0.75,0.75,0.75,native-country,Iran
0.75,0.75,0.75,native-country,France
1.0,1.0,1.0,native-country,Vietnam
0.6666666666666666,0.25,0.36363636363636365,native-country,Cuba
1.0,0.75,0.8571428571428571,native-country,Italy
1.0,1.0,1.0,native-country,Thailand
1.0,1.0,1.0,native-country,Haiti
1.0,1.0,1.0,native-country,Outlying-US(Guam-USVI-etc)
0.6666666666666666,0.6666666666666666,0.6666666666666666,native-country,Puerto-Rico
1.0,1.0,1.0,native-country,Greece
1.0,0.3333333333333333,0.5,native-country,Yugoslavia
1.0,0.75,0.8571428571428571,native-country,Taiwan
1.0,1.0,1.0,native-country,Scotland
1.0,1.0,1.0,native-country,Laos
1.0,1.0,1.0,native-country,Trinadad&Tobago
1.0,1.0,1.0,native-country,Holand-Netherlands
1.0,0.0,0.0,native-country,Hungary
